job_url,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"https://glassdoor.com/job-listing/user-experience-design-lead-jpmorgan-chase-co-JV_IC1132348_KO0,27_KE28,45.htm?jl=1008969145379",glassdoor,User Experience Design Lead,JPMorgan Chase & Co,,"New York, NY",,,yearly,133000,205000,USD,False,,,,
"https://glassdoor.com/job-listing/senior-user-experience-designer-associate-jpmorgan-chase-co-JV_IC1132348_KO0,41_KE42,59.htm?jl=1008898458670",glassdoor,"Senior User Experience Designer, Associate",JPMorgan Chase & Co,,"New York, NY",,,yearly,107400,144000,USD,False,,,,
"https://glassdoor.com/job-listing/ux-design-instructor-2-nights-a-week-nyc-noble-desktop-JV_IC5022007_KO0,40_KE41,54.htm?jl=1008047401560",glassdoor,UX Design Instructor (2 nights a week) - NYC,Noble Desktop,,Manhattan,,,hourly,50,75,USD,False,,,,
"https://glassdoor.com/job-listing/user-experience-design-director-jpmorgan-chase-co-JV_KO0,31_KE32,49.htm?jl=1008886735857",glassdoor,User Experience Design Director,JPMorgan Chase & Co,,United States,,,yearly,171000,260000,USD,False,,,,
"https://glassdoor.com/job-listing/associate-product-designer-order-JV_IC1132348_KO0,26_KE27,32.htm?jl=1008952577595",glassdoor,Associate Product Designer,Order,,"New York, NY",,,yearly,90000,110000,USD,False,,,,
"https://glassdoor.com/job-listing/senior-ux-designer-alta-it-services-JV_KO0,18_KE19,35.htm?jl=1008910528074",glassdoor,Senior UX Designer,ALTA IT Services,,United States,,,,,,,False,,,,
"https://glassdoor.com/job-listing/designer-craft-JV_IC1132348_KO0,8_KE9,14.htm?jl=1008969457954",glassdoor,Designer,Craft,,"New York, NY",,,yearly,45000,160000,USD,False,,,,
"https://glassdoor.com/job-listing/senior-visual-experience-designer-rockwell-group-JV_KO0,33_KE34,48.htm?jl=1008894617244",glassdoor,Senior Visual Experience Designer,Rockwell Group,,United States,,,yearly,90000,110000,USD,False,,,,
"https://glassdoor.com/job-listing/associate-ui-ux-designer-konrad-JV_KO0,24_KE25,31.htm?jl=1008870701660",glassdoor,Associate UI/UX Designer,Konrad,,United States,,,yearly,70000,80000,USD,False,,,,
"https://glassdoor.com/job-listing/content-designer-cvm-communications-training-tiffany-co-JV_KO0,44_KE45,55.htm?jl=1008891526017",glassdoor,"Content Designer, CVM Communications & Training",Tiffany & Co.,,United States,,,yearly,67405,91105,USD,False,,,,
https://www.ziprecruiter.com/k/l/AALdLQREDpYRdP3Jsg64srJmGE3xHVQRwRd_qb_GBJ6LVPW2HHBrZfj8zY5ulqovgKAX_OzQ-JRB4r263jzfhFP6GSNSyDQg9YHGHzdtnm61lGyOd_CIH3W5UuLG3m3cQ43uOV4NYOkqMuSnvYtYijtXdd4Lrb-Jlgod5ZrglIESOPipBbcy0UZRMemcC90X-a4AtKKrX3kWasaupT0UVfLNdYOlxwG2c-oM,zip_recruiter,UI/UX Designer,MW Partners,,"Manhattan, NY, USA",temporary,2023-11-11,hourly,54,56,USD,,1,,," MW Partners is currently seeking a UI/UX Designer to work for our client who is a leader in the media and entertainment industry. Responsibilities and duties:Create pixel precise designs that are on brand and are created based on product requirements and partner input / feedbackResearch the competitive landscape, create user flows and work towards product designs that take into consideration evolving functionality, technological innovation and their effects on the product and company revenueCollaborate with product, engineering, product marketing and marketing to develop compelling solutions across multiple problem spaces like conversion and retentionBe an advocate for visual and functional consistency while also capitalizing on strategic opportunities to evolve our systems and interactions Requirements:5+ years of product design experienceA strong UX and visual design sense, with an eye for simple, intuitive interfacesExperience quickly adapting to fast moving timelines and variable project requirements with ability to work independently.Proactively gather consensus from multiple internal partners and be able to change tasks quickly based on shifts in priorities or urgent deadlines.Experience partnering with other designers and product and engineering orgs to deliver cutting edge design across the entire product lifecycle. Been through multiple launches.Ability to rapidly concept, ideate and execute multiple concepts.An impressive portfolio that illustrates a deep understanding of functionality paired with a modern visual design sensibility. Any applicant without an online portfolio will not be considered.Embraces the dynamic nature of software development.The right candidate should have experience working in an agile context, where they have been a member of a delivery team in a product development environment; working closely with product owners, developers and QA. For a confidential discussion or to find out more, contact Nitin on 949-942-8307 or apply now."
https://www.ziprecruiter.com/k/l/AALpVWkn_AVFraFBuAdRcVH7rysnf66CL4QQyZznMsRn-hN8asp83zL0SKizOKVSe0Sj4aUXWio4XlrD1r8DQkBUOU3iBDCh11xiKgo3cOJAek4wPN5H5Lu0slUVN4qRRfPXL8O9txy71zIHq4CRs253J24FmQTxqaRvWbRIh9SofkxTzkKnKXMeUz_5rSIseCREJOkj8IrEMrSBgXko2XRH11Cr5FfPmWEw,zip_recruiter,Product Designer - UI/UX,"Strategic Resource Partners, Inc.",,"Manhattan, NY, USA",contract,2023-11-11,hourly,54,66,USD,,1,,,"One of the major entertainment studios is seeking a Product Designer with a specific focus on Monetization across many different supported experiences, from connected TVs, to mobile apps to web. Please note, this is NOT a UI/UX Design role. It is a Product Designer role so please submit your resume accordingly.Job Responsibilities:• Create pixel precise designs that are on brand and are created based on product requirements and partner input / feedback• Research the competitive landscape, create user flows and work towards product designs that take into consideration evolving functionality, technological innovation and their effects on the product and company revenue• Collaborate with product, engineering, product marketing and marketing to develop compelling solutions across multiple problem spaces like conversion and retentionQualifications:• 5+ years of product design experience• A strong UX and visual design sense• Experience quickly adapting to fast moving timelines and variable project requirements with ability to work independently.• Proactively gather consensus from multiple internal partners and be able to change tasks quickly based on shifts in priorities or urgent deadlines.• Experience partnering with other designers and product and engineering orgs to deliver cutting edge design across the entire product lifecycle. Been through multiple launches.• Ability to rapidly concept, ideate and execute multiple concepts.• A portfolio that illustrates a deep understanding of functionality paired with a modern visual design sensibility.• should have experience working in an agile context, where they have been a member of a delivery team in a product development environment; working closely with product owners, developers and QA."
