job_url_hyper,site,title,company,company_url,location,job_type,date_posted,interval,min_amount,max_amount,currency,is_remote,num_urgent_words,benefits,emails,description
"<a href=""https://glassdoor.com/job-listing/implementation-consultant-database-administrator-interscripts-inc-JV_IC1132200_KO0,48_KE49,65.htm?jl=1008985196459"">https://glassdoor.com/job-listing/implementation-consultant-database-administrator-interscripts-inc-JV_IC1132200_KO0,48_KE49,65.htm?jl=1008985196459</a>",glassdoor,Implementation Consultant: Database Administrator,"Interscripts, Inc.",,"Brooklyn, NY",,,,,,,False,,,,
"<a href=""https://glassdoor.com/job-listing/help-desk-data-technician-ii-dci-solutions-JV_IC1132348_KO0,28_KE29,42.htm?jl=1008951957099"">https://glassdoor.com/job-listing/help-desk-data-technician-ii-dci-solutions-JV_IC1132348_KO0,28_KE29,42.htm?jl=1008951957099</a>",glassdoor,Help Desk Data Technician II,DCI Solutions,,"New York, NY",,,yearly,95000,125000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/production-data-specialist-fineline-settings-llc-JV_IC1126872_KO0,26_KE27,48.htm?jl=1008983615004"">https://glassdoor.com/job-listing/production-data-specialist-fineline-settings-llc-JV_IC1126872_KO0,26_KE27,48.htm?jl=1008983615004</a>",glassdoor,Production Data Specialist,Fineline Settings LLC,,"Middletown, NJ",,,yearly,37273,52825,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/quickbooks-data-entry-country-club-services-JV_IC1126876_KO0,21_KE22,43.htm?jl=1008744516715"">https://glassdoor.com/job-listing/quickbooks-data-entry-country-club-services-JV_IC1126876_KO0,21_KE22,43.htm?jl=1008744516715</a>",glassdoor,QuickBooks data entry,COUNTRY CLUB SERVICES,,"Millburn, NJ",,,yearly,50000,50000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/database-developer-expanse-ft-JV_IC1132345_KO0,18_KE19,29.htm?jl=1008930779484"">https://glassdoor.com/job-listing/database-developer-expanse-ft-JV_IC1132345_KO0,18_KE19,29.htm?jl=1008930779484</a>",glassdoor,Database Developer,Expanse FT,,"New Hyde Park, NY",,,yearly,103556,130000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/senior-electrical-engineer-data-center-facilities-bruns-pak-inc-JV_IC1126748_KO0,49_KE50,63.htm?jl=1008877360799"">https://glassdoor.com/job-listing/senior-electrical-engineer-data-center-facilities-bruns-pak-inc-JV_IC1126748_KO0,49_KE50,63.htm?jl=1008877360799</a>",glassdoor,Senior Electrical Engineer - Data Center Facilities,"BRUNS-PAK, Inc.",,"Edison, NJ",,,yearly,75000,110000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/database-manager-with-raisers-edge-experience-city-harvest-JV_IC1132200_KO0,45_KE46,58.htm?jl=1008930626443"">https://glassdoor.com/job-listing/database-manager-with-raisers-edge-experience-city-harvest-JV_IC1132200_KO0,45_KE46,58.htm?jl=1008930626443</a>",glassdoor,Database Manager with Raisers Edge Experience,City Harvest,,"Brooklyn, NY",,,yearly,67669,71600,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/specialty-pharmacy-technician-data-entry-bilingual-total-care-rx-JV_IC1132354_KO0,50_KE51,64.htm?jl=1008933379876"">https://glassdoor.com/job-listing/specialty-pharmacy-technician-data-entry-bilingual-total-care-rx-JV_IC1132354_KO0,50_KE51,64.htm?jl=1008933379876</a>",glassdoor,Specialty Pharmacy Technician - Data Entry (Bilingual),Total Care Rx,,"Oakland Gardens, NY",,,hourly,21,27,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/business-analyst-aptimized-JV_IC1127034_KO0,16_KE17,26.htm?jl=1008948129103"">https://glassdoor.com/job-listing/business-analyst-aptimized-JV_IC1127034_KO0,16_KE17,26.htm?jl=1008948129103</a>",glassdoor,Business Analyst,Aptimized,,"Wayne, NJ",,,yearly,75000,90000,USD,False,,,,
"<a href=""https://glassdoor.com/job-listing/accounts-payable-data-entry-kel-tech-construction-inc-JV_KO0,27_KE28,53.htm?jl=1008965020291"">https://glassdoor.com/job-listing/accounts-payable-data-entry-kel-tech-construction-inc-JV_KO0,27_KE28,53.htm?jl=1008965020291</a>",glassdoor,Accounts Payable/Data Entry,Kel-Tech Construction Inc.,,United States,,,yearly,50000,60000,USD,False,,,,
"<a href=""https://www.ziprecruiter.com/ek/l/AAKJzhRPpEaq-CmjXkFy0RUbbWw02jaJ_T2aJZpjwlMYrBE0K4S0y0K3BgUjuICPYLyjRY9Da4_e9_jaHKI1nA17D46CphhEVSOEovK8bpCGxvgpfK256_gTGz9uzt4kM2H9ogwSJUCa9DMpbf8olGSJuxaYH6OhYCPHT1eULnKi0CCYYG3IjHsWV44DoiCsWCoJXJ-G4Wwc2d7aqmKl8QUha0fBT3IYiNfZ"">https://www.ziprecruiter.com/ek/l/AAKJzhRPpEaq-CmjXkFy0RUbbWw02jaJ_T2aJZpjwlMYrBE0K4S0y0K3BgUjuICPYLyjRY9Da4_e9_jaHKI1nA17D46CphhEVSOEovK8bpCGxvgpfK256_gTGz9uzt4kM2H9ogwSJUCa9DMpbf8olGSJuxaYH6OhYCPHT1eULnKi0CCYYG3IjHsWV44DoiCsWCoJXJ-G4Wwc2d7aqmKl8QUha0fBT3IYiNfZ</a>",zip_recruiter,Lead Data Engineer- Oracle / Cloud Services,JPMorgan Chase & Co,,"Jersey City, NJ, USA",,2023-11-17,yearly,137750,185000,USD,,0,,,"As a Lead Data Engineer- Oracle / Cloud Services at JPMorgan Chase within Asset Wealth Management, GPB Technology, you are an integral part of an agile team that works to enhance, build, and deliver ..."
"<a href=""https://www.ziprecruiter.com/ek/l/AAJZrD-_U2x7fWXaud1pRKrpcxmScvOZsT7Wyh55zIyoH5WKQceWa1SzwAq-kFH_lTl40QJ7p3kT1573RUrJiUC9NH4TO-6AJkE6Nb62Nt3LoqyzAnevWZT0UBJ5JV03YLNskL-RY1WbrXCkZZt6uBdNF4f2sIGQGZMgEnPAtUF9fiIFZL8vjpuT4k5UeEK8kM32zOJHlY3H0os1E7CZp2zBCisTfyafNI3o"">https://www.ziprecruiter.com/ek/l/AAJZrD-_U2x7fWXaud1pRKrpcxmScvOZsT7Wyh55zIyoH5WKQceWa1SzwAq-kFH_lTl40QJ7p3kT1573RUrJiUC9NH4TO-6AJkE6Nb62Nt3LoqyzAnevWZT0UBJ5JV03YLNskL-RY1WbrXCkZZt6uBdNF4f2sIGQGZMgEnPAtUF9fiIFZL8vjpuT4k5UeEK8kM32zOJHlY3H0os1E7CZp2zBCisTfyafNI3o</a>",zip_recruiter,Lead Software Engineer- Python / Big Data / AWS,JPMorgan Chase & Co,,"Jersey City, NJ, USA",,2023-11-17,yearly,147250,215000,USD,,0,,,"As a Lead Software Engineer- Python / Big Data / AWS at JPMorgan Chase within Consumer and Community Banking, Data Technology, you are an integral part of an agile team that works to design and build ..."
